stock_code,EPS,Beta,PE_Ratio,ROE,ROA,Gross_margin,Operating_margin,Trailing_PE_Ratio,PB_Ratio,Revenue_per_share,Normalized_ROE,Normalized_EPS,Normalized_Gross_margin,Normalized_Revenue_per_share,Normalized_PB_Ratio,Normalized_PE_Ratio,Normalized_Operating_margin,Buffet_Score,Graham_Score,OShaughnessy_Score,Lynch_Score,Murphy_Score
2301.TW,6.3,0.553,15.107914,0.18106002,0.04937,0.22453,0.07752,16.666666,2.9012737,62.414,0.2594222869817234,0.04075398115047124,0.3397981465243033,0.04544187898089172,0.05132201576768256,0.5278021821438156,0.9510819838791662,0.14165606304505365,0.2540363751312704,0.18945310308758417,0.33973284226021605,0.7171726545174875
2317.TW,10.73,0.563,15.024805,0.100839995,0.02737,0.06363,0.02776,19.75769,1.9725884,434.569,0.16322712925163246,0.06954826129346767,0.20147521535049262,0.3197953526775183,0.032088935363694185,0.5277494981521585,0.9465652458064047,0.14695937965696484,0.24988519914373097,0.19770981824928738,0.3955602324859738,0.6555353618962994
2324.TW,1.86,0.416,12.895683,0.076409996,0.01773,0.045739997,0.01422,19.274193,1.2991483,215.01,0.13393210463463734,0.011894702632434192,0.18609549096473582,0.15793598136352913,0.018141985206768067,0.5263998170624475,0.9453362137825865,0.09443391108628311,0.23509036945876063,0.1575686896793373,0.35675756718888585,0.6368504568095813
2332.TW,0.63,0.661,61.5,0.04543,-0.00422,0.23961,-0.022,29.285715,1.2451913,25.518,0.09678270706591825,0.003899902502437439,0.3527621602104503,0.018242067704647324,0.0170245352812034,0.5572107933865943,0.942048507733643,0.08602676723647477,0.24667455793461637,0.15654493525561158,0.35497368556733816,0.6121412203109228
2345.TW,16.21,0.346,22.736584,0.34539002,0.12203,0.22657,0.10193,34.238125,10.220618,149.365,0.456477202756006,0.10516737081572962,0.34155189903887484,0.10954234489266337,0.20290569801868194,0.5326381058901513,0.9532976907995061,0.21189907279173198,0.3302824916448937,0.25236520108959964,0.34230649990171436,0.8393069056911331
2347.TW,4.65,0.272,15.467891,0.11663,0.02812,0.04315,0.023359999,18.129032,1.9959277,246.496,0.18216157886734782,0.030029249268768286,0.18386891559636184,0.18114752889832508,0.03257229246375036,0.5280303767468637,0.9461658556931232,0.11535624645002064,0.24456548374417617,0.1745911954053316,0.3615365954730974,0.6669116042821823
2353.TW,1.87,0.73,21.004366,0.086219996,0.014680001,0.10762,0.01327,25.721924,1.961264,82.495,0.1456956823364916,0.011959701007474816,0.23929265315245613,0.060245635763151686,0.03185440694408107,0.5315400279604428,0.9452499818459079,0.08928295260315432,0.24317989607404705,0.16016945670457447,0.33947038451686923,0.6440132817559154
2354.TW,3.06,0.729,24.930555,0.042290002,0.00526,0.088690005,0.0014300001,23.464054,0.9639654,42.493,0.0930174052864415,0.01969450763730907,0.22301886573477075,0.030756074545883465,0.011200344517783333,0.5340288956946221,0.9441752596125915,0.0715329139052281,0.23649959749640842,0.16022398745637717,0.3347856897777075,0.6110803152623145
2356.TW,1.76,0.441,17.968252,0.10949001,0.021540001,0.05199,0.01638,32.159092,3.3902366,146.362,0.17359972084946174,0.011244718882027951,0.1914685098261722,0.10732852677518283,0.06144844155504813,0.5296153915835667,0.9455322779754556,0.09386113499726809,0.2549368292114521,0.16213843234682573,0.3426665086317739,0.6612896895408873
2357.TW,30.92,0.536,13.969986,0.09896,0.02478,0.16486,0.03983,16.55886,1.4622054,663.22,0.1609727493065155,0.20077998050048754,0.2885008854730834,0.48835736612408587,0.021518899124476444,0.5270808332013629,0.9476608452545202,0.22768670716966483,0.2638213044883744,0.2808956736471147,0.44293377981178284,0.6547958738701077
2360.TW,9.49,0.771,22.813156,0.20372,0.08135,0.56974,0.20385,34.35195,6.778392,44.427,0.28659480843457397,0.061488462788430294,0.6365691786592391,0.03218182354328851,0.13161716849560312,0.5326866459833922,0.9625490160482172,0.19294334053511167,0.29350731621816406,0.2067675878968402,0.3546390281485149,0.7405636991491746
2368.TW,8.8,0.103,13.140604,0.29049,0.12088,0.27061,0.19045,22.727272,5.84556,67.35,0.3906443127352768,0.05700357491062724,0.3794123209710975,0.04908070889360698,0.11229820989960373,0.5265550760105835,0.9613326918887516,0.18428061855949002,0.28195832919583486,0.2132209128949867,0.33674749064773496,0.8036531161695912
2371.TW,1.21,0.344,27.311323,0.04723,0.00525,0.16240999,0.039130002,47.85124,2.4154186,21.718,0.0989411616901117,0.00766980825479363,0.286394654493561,0.015440699457419202,0.04125995254455648,0.5355380988067918,0.947597306114298,0.07430386192307804,0.24831166040879787,0.15357429840905254,0.33396955486577806,0.6167208195762466
